| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Cumin seeds (Cuminum cyminum)                                                          | 1274      | 304.49      | 22.62  | 13.91     | 16.64 | 1.38        | 30.35   |
| Fenugreek seeds (Trigonella foenum graecum)                                            | 983       | 234.94      | 10.57  | 25.41     | 5.72  | 0.55        | 47.55   |
| Mace (Myristica fragrans)                                                              | 1488      | 355.63      | 26.51  | 6.24      | 24.41 | 0.85        | 20.31   |
| Nutmeg (Myristica fragrans)                                                            | 1940      | 463.66      | 27.64  | 6.3       | 36.52 | 1.08        | 11.99   |
| Omum (Trachyspermum ammi)                                                              | 1495      | 357.31      | 24.53  | 15.89     | 21.11 | 2.76        | 20.58   |
| Pippali (Piper longum)                                                                 | 906       | 216.53      | 35.7   | 10.53     | 2.27  | 2.75        | 34.14   |
| Pepper, black (Piper nigrum)                                                           | 910       | 217.49      | 36.22  | 10.12     | 2.74  | 0.32        | 33.16   |
| Poppy seeds (Papaver somniferum)                                                       | 1768      | 422.55      | 12.37  | 20.31     | 30.38 | 1.85        | 26.68   |
| Turmeric powder (Curcuma domestica)                                                    | 1174      | 280.59      | 49.22  | 7.66      | 5.03  | 1.23        | 21.38   |
| Arisithippili                                                                          | 1376.54   | 329         | 58.4   | 13.2      | 4.7   | 0           | 5.2     |
| Chillies dry                                                                           | 1029.26   | 246         | 31.6   | 15.9      | 6.2   | 0           | 30.2    |
| Cloves green                                                                           | 665.26    | 159         | 24.1   | 2.3       | 5.9   | 0           | 0       |
| Garlic dry                                                                             | 606.68    | 145         | 29.8   | 6.3       | 0.1   | 0           | 0.8     |
| Lime peel                                                                              | 539.74    | 129         | 29.4   | 1.8       | 0.5   | 0           | 0       |
| Mango powder                                                                           | 1410.01   | 337         | 64     | 2.8       | 7.8   | 0           | 13.7    |
| Nutmeg fruit                                                                           | 1974.85   | 472         | 28.5   | 7.5       | 36.4  | 0           | 11.6    |
| Nutmeg rind                                                                            | 217.57    | 52          | 11.2   | 1         | 0.4   | 0           | 0       |
| Pepper green                                                                           | 410.03    | 98          | 13.7   | 4.8       | 2.7   | 0           | 6.4     |
| Spring onions, bulbs only, raw                                                         | 151       | 35          | 8.5    | 0.9       | 0     | 8.5         | 0       |
| Agar, dried                                                                            | 67        | 16          | 0      | 1.3       | 1.2   | 0           | 0       |
| Fennel seeds                                                                           | 0         | 0           | 0      | 15.8      | 14.9  | 0           | 0       |
| Basil, dried, ground                                                                   | 1051      | 251         | 43.2   | 14.4      | 4     | 0           | 0       |
| Bay leaf, dried                                                                        | 1312      | 313         | 48.6   | 7.6       | 8.4   | 0           | 0       |
| Sesame seeds                                                                           | 2470      | 598         | 0.9    | 18.2      | 58    | 0.4         | 0       |
| Mixed curry spices                                                                     | 0         | 0           | 0      | 13.2      | 13.3  | 0           | 0       |
